,After-Failure Strategies,,,,,,Learning Efforts,,,,Learning Outputs,,,,,
,THR,DER,RPR,RTR,LOA,COA,THE,DEE,PLT,NAT,NGO,NER,NCO,CMP,ERR,SUR
THR,1,0.131,.477**,0.098,0.22,.310**,.488**,.252*,.281**,.481**,.466**,.538**,.320**,.319**,.298**,-.234*
sig.,,0.255,0,0.345,0.051,0.003,0,0.013,0.003,0,0,0,0.001,0.001,0.002,0.014
DER,0.131,1,0.135,0.2,0.07,0.155,.298**,.359**,0.189,.270*,0.161,.217*,0.189,0.125,0.02,-0.083
sig.,0.255,,0.23,0.093,0.588,0.199,0.007,0.002,0.084,0.013,0.151,0.047,0.083,0.257,0.858,0.445
RPR,.477**,0.135,1,.255*,.320**,0.174,.399**,.210*,.381**,.442**,.513**,.562**,.258**,.220*,.361**,-.332**
sig.,0,0.23,,0.012,0.004,0.09,0,0.033,0,0,0,0,0.006,0.018,0,0
RTR,0.098,0.2,.255*,1,.269*,.377**,0.149,.270**,.282**,.253*,.557**,.504**,.263**,.233*,.378**,0.02
sig.,0.345,0.093,0.012,,0.021,0.001,0.137,0.01,0.004,0.01,0,0,0.008,0.019,0,0.839
LOA,0.22,0.07,.320**,.269*,1,.302*,.258*,0.175,0.047,.266*,.445**,.392**,0.13,0.094,.301**,-0.121
sig.,0.051,0.588,0.004,0.021,,0.011,0.017,0.123,0.657,0.013,0,0,0.225,0.38,0.005,0.257
COA,.310**,0.155,0.174,.377**,.302*,1,.295**,0.125,0.074,.220*,.486**,.435**,0.113,0.088,.390**,-.210*
sig.,0.003,0.199,0.09,0.001,0.011,,0.003,0.237,0.46,0.027,0,0,0.259,0.382,0,0.035
THE,.488**,.298**,.399**,0.149,.258*,.295**,1,.551**,.421**,.638**,.304**,.399**,.459**,.394**,0.015,-0.166
sig.,0,0.007,0,0.137,0.017,0.003,,0,0,0,0.001,0,0,0,0.866,0.07
DEE,.252*,.359**,.210*,.270**,0.175,0.125,.551**,1,.409**,.600**,0.147,.280**,.583**,.524**,-0.124,0.073
sig.,0.013,0.002,0.033,0.01,0.123,0.237,0,,0,0,0.134,0.004,0,0,0.195,0.445
PLT,.281**,0.189,.381**,.282**,0.047,0.074,.421**,.409**,1,.595**,.228*,.381**,.584**,.528**,0.022,0.08
sig.,0.003,0.084,0,0.004,0.657,0.46,0,0,,0,0.014,0,0,0,0.804,0.376
NAT,.481**,.270*,.442**,.253*,.266*,.220*,.638**,.600**,.595**,1,.339**,.511**,.739**,.678**,0.045,-0.016
sig.,0,0.013,0,0.01,0.013,0.027,0,0,0,,0,0,0,0,0.619,0.862
NGO,.466**,0.161,.513**,.557**,.445**,.486**,.304**,0.147,.228*,.339**,1,.801**,.202*,.200*,.680**,-.199*
sig.,0,0.151,0,0,0,0,0.001,0.134,0.014,0,,0,0.03,0.032,0,0.032
NER,.538**,.217*,.562**,.504**,.392**,.435**,.399**,.280**,.381**,.511**,.801**,1,.369**,.358**,.536**,-0.141
sig.,0,0.047,0,0,0,0,0,0.004,0,0,0,,0,0,0,0.121
NCO,.320**,0.189,.258**,.263**,0.13,0.113,.459**,.583**,.584**,.739**,.202*,.369**,1,.891**,-0.066,.249**
sig.,0.001,0.083,0.006,0.008,0.225,0.259,0,0,0,0,0.03,0,,0,0.464,0.006
CMP,.319**,0.125,.220*,.233*,0.094,0.088,.394**,.524**,.528**,.678**,.200*,.358**,.891**,1,-0.059,.296**
sig.,0.001,0.257,0.018,0.019,0.38,0.382,0,0,0,0,0.032,0,0,,0.519,0.001
ERR,.298**,0.02,.361**,.378**,.301**,.390**,0.015,-0.124,0.022,0.045,.680**,.536**,-0.066,-0.059,1,-.262**
sig.,0.002,0.858,0,0,0.005,0,0.866,0.195,0.804,0.619,0,0,0.464,0.519,,0.004
SUR,-.234*,-0.083,-.332**,0.02,-0.121,-.210*,-0.166,0.073,0.08,-0.016,-.199*,-0.141,.249**,.296**,-.262**,1
sig.,0.014,0.445,0,0.839,0.257,0.035,0.07,0.445,0.376,0.862,0.032,0.121,0.006,0.001,0.004,
